,Name,Year_of_Birth,Most_Common_Pronoun
541,Opeth,2001.0,Plural or Non-binary Pronouns
542,The Orb,1988.0,Plural or Non-binary Pronouns
543,Leo Ornstein,2002.0,Male Pronouns
544,Ellis Paul,1965.0,Male Pronouns
545,Pearl Jam,1990.0,Male Pronouns
546,Katy Perry,2008.0,Female Pronouns
547,Pink Floyd,1968.0,Plural or Non-binary Pronouns
548,Pixies (band),1986.0,Plural or Non-binary Pronouns
549,Francis Poulenc,1899.0,Male Pronouns
550,Powderfinger,1992.0,Plural or Non-binary Pronouns
551,Elvis Presley,1935.0,Male Pronouns
552,Radiohead,1985.0,Plural or Non-binary Pronouns
553,Maurice Ravel,1925.0,Male Pronouns
554,R.E.M.,2011.0,Male Pronouns
555,Nikolai Rimsky-Korsakov,1898.0,Male Pronouns
556,Gioachino Rossini,1815.0,Male Pronouns
557,Camille Saint-Saëns,1880.0,Male Pronouns
558,Joey Santiago,1965.0,Male Pronouns
559,Sasha (DJ),2000.0,Male Pronouns
560,Sex Pistols,1976.0,Male Pronouns
561,Dmitri Shostakovich,1950.0,Male Pronouns
562,Silverchair,1953.0,Plural or Non-binary Pronouns
563,Slayer,1981.0,Male Pronouns
564,The Smashing Pumpkins,1988.0,Male Pronouns
